target_id,rater_id,K,history_count,history_ids,prompt_tokens,context_fit,target_leaked,prompt_language
6829:1,rater_12,1,1,2975:2,1323,True,False,en
6829:1,rater_12,3,3,2975:2|7089:2|5763:2,2043,True,False,en
6829:1,rater_12,5,5,2975:2|7089:2|5763:2|7081:2|5884:1,2696,True,False,en
6829:1,rater_12,7,7,2975:2|7089:2|5763:2|7081:2|5884:1|5821:2|7097:2,3552,True,False,en
6856:1,rater_13,0,0,,479,True,False,en
6856:1,rater_13,1,1,6921:1,1134,True,False,en
6856:1,rater_13,3,3,6921:1|1097:2|4923:2,1781,True,False,en
6856:1,rater_13,5,5,6921:1|1097:2|4923:2|5914:2|4901:2,2407,True,False,en
6856:1,rater_13,7,7,6921:1|1097:2|4923:2|5914:2|4901:2|6784:2|7138:2,3191,True,False,en
6955:2,rater_12,0,0,,1278,True,False,en
6955:2,rater_12,1,1,6209:2,1774,True,False,en
6955:2,rater_12,3,3,6209:2|1183:2|3041:2,2792,True,False,en
6955:2,rater_12,5,5,6209:2|1183:2|3041:2|1674:1|3319:1,3597,True,False,en
6955:2,rater_12,7,7,6209:2|1183:2|3041:2|1674:1|3319:1|1224:2|1625:2,4469,True,False,en
7013:1,rater_15,0,0,,951,True,False,en
7013:1,rater_15,1,1,6069:2,1517,True,False,en
7013:1,rater_15,3,3,6069:2|4313:1|5274:1,2615,True,False,en
7013:1,rater_15,5,5,6069:2|4313:1|5274:1|6950:1|1953:1,3479,True,False,en
7013:1,rater_15,7,7,6069:2|4313:1|5274:1|6950:1|1953:1|7040:1|4462:1,4566,True,False,en
704:2,rater_2,0,0,,814,True,False,en
704:2,rater_2,1,1,7507:1,1390,True,False,en
704:2,rater_2,3,3,7507:1|2885:2|6558:2,2373,True,False,en
704:2,rater_2,5,5,7507:1|2885:2|6558:2|4032:2|3050:2,3348,True,False,en
704:2,rater_2,7,7,7507:1|2885:2|6558:2|4032:2|3050:2|6275:2|8457:2,4415,True,False,en
716:1,rater_18,0,0,,647,True,False,en
716:1,rater_18,1,1,5677:1,1402,True,False,en
716:1,rater_18,3,3,5677:1|4890:1|5654:1,2210,True,False,en
716:1,rater_18,5,5,5677:1|4890:1|5654:1|7080:1|550:1,3087,True,False,en
716:1,rater_18,7,7,5677:1|4890:1|5654:1|7080:1|550:1|7226:1|5777:1,4192,True,False,en
7183:2,rater_15,0,0,,677,True,False,en
7183:2,rater_15,1,1,4314:1,1028,True,False,en
7183:2,rater_15,3,3,4314:1|1568:2|4498:1,1952,True,False,en
7183:2,rater_15,5,5,4314:1|1568:2|4498:1|3064:1|1059:2,2757,True,False,en
7183:2,rater_15,7,7,4314:1|1568:2|4498:1|3064:1|1059:2|3003:1|5294:1,4040,True,False,en
7237:2,rater_27,0,0,,628,True,False,en
7237:2,rater_27,1,1,7734:2,974,True,False,en
7237:2,rater_27,3,3,7734:2|4717:2|1763:2,1942,True,False,en
7237:2,rater_27,5,5,7734:2|4717:2|1763:2|4629:2|7960:2,2788,True,False,en
7237:2,rater_27,7,7,7734:2|4717:2|1763:2|4629:2|7960:2|4491:2|3206:2,4633,True,False,en
7433:1,rater_19,0,0,,356,True,False,en
7433:1,rater_19,1,1,325:1,950,True,False,en
7433:1,rater_19,3,3,325:1|6110:1|2816:1,2172,True,False,en
7433:1,rater_19,5,5,325:1|6110:1|2816:1|4989:1|6205:1,3472,True,False,en
7433:1,rater_19,7,7,325:1|6110:1|2816:1|4989:1|6205:1|2779:1|2762:1,5144,True,False,en
7584:2,rater_10,0,0,,513,True,False,en
7584:2,rater_10,1,1,2177:1,1240,True,False,en
7584:2,rater_10,3,3,2177:1|4665:2|8397:2,2883,True,False,en
7584:2,rater_10,5,5,2177:1|4665:2|8397:2|5145:1|831:1,4106,True,False,en
7584:2,rater_10,7,7,2177:1|4665:2|8397:2|5145:1|831:1|2567:1|2217:1,5269,True,False,en
7601:2,rater_10,0,0,,1174,True,False,en
7601:2,rater_10,1,1,2567:1,1591,True,False,en
7601:2,rater_10,3,3,2567:1|440:2|387:2,2220,True,False,en
7601:2,rater_10,5,5,2567:1|440:2|387:2|7616:2|7555:2,3684,True,False,en
7601:2,rater_10,7,7,2567:1|440:2|387:2|7616:2|7555:2|5401:2|2579:1,4906,True,False,en
7630:2,rater_10,0,0,,756,True,False,en
7630:2,rater_10,1,1,4545:1,1239,True,False,en
7630:2,rater_10,3,3,4545:1|4229:2|7569:2,1965,True,False,en
7630:2,rater_10,5,5,4545:1|4229:2|7569:2|2660:1|8390:2,3082,True,False,en
7630:2,rater_10,7,7,4545:1|4229:2|7569:2|2660:1|8390:2|3981:2|4662:2,4434,True,False,en
7793:1,rater_3,0,0,,836,True,False,en
7793:1,rater_3,1,1,151:2,1008,True,False,en
7793:1,rater_3,3,3,151:2|7846:2|5811:2,2599,True,False,en
7793:1,rater_3,5,5,151:2|7846:2|5811:2|75:2|6241:2,3417,True,False,en
7793:1,rater_3,7,7,151:2|7846:2|5811:2|75:2|6241:2|5851:1|131:2,4229,True,False,en
7907:2,rater_6,0,0,,755,True,False,en
7907:2,rater_6,1,1,8319:1,1023,True,False,en
7907:2,rater_6,3,3,8319:1|8024:1|3621:1,2015,True,False,en
7907:2,rater_6,5,5,8319:1|8024:1|3621:1|8060:1|1216:2,2860,True,False,en
7907:2,rater_6,7,7,8319:1|8024:1|3621:1|8060:1|1216:2|1984:1|4968:2,3718,True,False,en
8005:1,rater_6,0,0,,557,True,False,en
8005:1,rater_6,1,1,3558:1,1016,True,False,en
8005:1,rater_6,3,3,3558:1|8305:1|8097:1,2578,True,False,en
8005:1,rater_6,5,5,3558:1|8305:1|8097:1|8022:1|6286:1,3312,True,False,en
8005:1,rater_6,7,7,3558:1|8305:1|8097:1|8022:1|6286:1|4148:1|5247:1,4419,True,False,en
8079:2,rater_1,0,0,,695,True,False,en
8079:2,rater_1,1,1,12:1,963,True,False,en
8079:2,rater_1,3,3,12:1|121:2|41:1,1382,True,False,en
8079:2,rater_1,5,5,12:1|121:2|41:1|8022:2|3282:1,2337,True,False,en
8079:2,rater_1,7,7,12:1|121:2|41:1|8022:2|3282:1|3657:2|6495:1,3420,True,False,en
8197:2,rater_2,0,0,,630,True,False,en
8197:2,rater_2,1,1,189:2,1027,True,False,en
8197:2,rater_2,3,3,189:2|8568:2|2121:2,1895,True,False,en
8197:2,rater_2,5,5,189:2|8568:2|2121:2|14:2|8516:2,3173,True,False,en
8197:2,rater_2,7,7,189:2|8568:2|2121:2|14:2|8516:2|6682:2|6302:1,4530,True,False,en
8415:1,rater_7,0,0,,940,True,False,en
8415:1,rater_7,1,1,875:1,1487,True,False,en
8415:1,rater_7,3,3,875:1|240:1|501:2,2421,True,False,en
8415:1,rater_7,5,5,875:1|240:1|501:2|706:2|7506:2,3608,True,False,en
8415:1,rater_7,7,7,875:1|240:1|501:2|706:2|7506:2|2419:1|2456:1,5587,True,False,en
8443:2,rater_2,0,0,,523,True,False,en
8443:2,rater_2,1,1,8454:2,969,True,False,en
8443:2,rater_2,3,3,8454:2|744:1|38:2,2007,True,False,en
8443:2,rater_2,5,5,8454:2|744:1|38:2|2894:2|6608:2,2915,True,False,en
8443:2,rater_2,7,7,8454:2|744:1|38:2|2894:2|6608:2|2247:2|3831:2,3767,True,False,en
8521:2,rater_2,0,0,,866,True,False,en
8521:2,rater_2,1,1,7658:2,1658,True,False,en
8521:2,rater_2,3,3,7658:2|7811:2|6348:2,2378,True,False,en
8521:2,rater_2,5,5,7658:2|7811:2|6348:2|3673:2|2167:2,3069,True,False,en
8521:2,rater_2,7,7,7658:2|7811:2|6348:2|3673:2|2167:2|7822:2|3796:2,4070,True,False,en
8580:2,rater_21,0,0,,937,True,False,en
8580:2,rater_21,1,1,6001:1,1664,True,False,en
8580:2,rater_21,3,3,6001:1|1945:2|1760:2,2459,True,False,en
8580:2,rater_21,5,5,6001:1|1945:2|1760:2|5951:1|8604:2,4137,True,False,en
8580:2,rater_21,7,7,6001:1|1945:2|1760:2|5951:1|8604:2|1786:2|8594:2,5395,True,False,en
8632:2,rater_23,0,0,,1115,True,False,en
8632:2,rater_23,1,1,1395:1,1630,True,False,en
8632:2,rater_23,3,3,1395:1|7652:1|7612:1,2802,True,False,en
8632:2,rater_23,5,5,1395:1|7652:1|7612:1|3242:1|7685:1,3933,True,False,en
8632:2,rater_23,7,7,1395:1|7652:1|7612:1|3242:1|7685:1|7586:1|7555:1,5251,True,False,en
8656:1,rater_7,0,0,,398,True,False,en
8656:1,rater_7,1,1,2125:1,878,True,False,en
8656:1,rater_7,3,3,2125:1|1957:1|436:2,1770,True,False,en
8656:1,rater_7,5,5,2125:1|1957:1|436:2|8423:1|2430:1,2956,True,False,en
8656:1,rater_7,7,7,2125:1|1957:1|436:2|8423:1|2430:1|1398:1|523:1,3920,True,False,en
8656:2,rater_4,0,0,,398,True,False,en
8656:2,rater_4,1,1,7812:1,998,True,False,en
8656:2,rater_4,3,3,7812:1|1514:2|3156:1,2027,True,False,en
8656:2,rater_4,5,5,7812:1|1514:2|3156:1|71:1|6070:2,3056,True,False,en
8656:2,rater_4,7,7,7812:1|1514:2|3156:1|71:1|6070:2|2132:2|8680:2,5066,True,False,en
8669:1,rater_7,0,0,,395,True,False,en
8669:1,rater_7,1,1,6269:1,1340,True,False,en
8669:1,rater_7,3,3,6269:1|8480:1|8573:1,2709,True,False,en
8669:1,rater_7,5,5,6269:1|8480:1|8573:1|1774:1|877:1,3928,True,False,en
8669:1,rater_7,7,7,6269:1|8480:1|8573:1|1774:1|877:1|8687:1|6383:1,5052,True,False,en
8771:2,rater_11,0,0,,643,True,False,en
8771:2,rater_11,1,1,828:2,1288,True,False,en
8771:2,rater_11,3,3,828:2|5435:2|8755:2,2357,True,False,en
8771:2,rater_11,5,5,828:2|5435:2|8755:2|5134:2|5485:2,3421,True,False,en
8771:2,rater_11,7,7,828:2|5435:2|8755:2|5134:2|5485:2|2514:2|4755:2,4271,True,False,en
8877:1,rater_9,0,0,,586,True,False,en
8877:1,rater_9,1,1,5432:1,826,True,False,en
8877:1,rater_9,3,3,5432:1|3459:2|5056:1,2300,True,False,en
8877:1,rater_9,5,5,5432:1|3459:2|5056:1|3452:2|2518:1,3176,True,False,en
8877:1,rater_9,7,7,5432:1|3459:2|5056:1|3452:2|2518:1|3520:2|5139:1,4545,True,False,en
894:1,rater_19,0,0,,674,True,False,en
894:1,rater_19,1,1,6071:1,1384,True,False,en
894:1,rater_19,3,3,6071:1|7440:1|6115:1,2619,True,False,en
894:1,rater_19,5,5,6071:1|7440:1|6115:1|4112:1|938:1,3454,True,False,en
894:1,rater_19,7,7,6071:1|7440:1|6115:1|4112:1|938:1|3398:1|4951:1,4792,True,False,en
